swatch,axis,angle_deg,tx,rx,range_m,power_db,delta_power_db_vs_baseline,phase_deg,phase_shift_vs_baseline_deg,snr_db,n_repeats,n_loops_total,coherence_within_file,coherence_across_repeats
petg_rect_3_run_2,boresight,0.0,0,3,1.78,60.87,-12.61,-128.92,7.24,-12.79,3,1080,0.3856,0.6328
petg_rect_3_run_2,boresight,0.0,1,0,1.78,66.58,-7.66,-34.04,97.75,-12.79,3,1080,0.5079,0.9451
petg_rect_3_run_2,boresight,0.0,1,1,1.78,67.81,-5.88,-149.4,-2.18,-12.79,3,1080,0.4562,0.9216
petg_rect_3_run_2,boresight,0.0,1,2,1.78,56.46,-14.57,81.31,-134.43,-12.79,3,1080,0.2182,0.649
petg_rect_3_run_2,boresight,0.0,1,3,1.78,64.87,-11.07,-114.87,20.29,-12.79,3,1080,0.4584,0.9554
petg_rect_3_run_2,boresight,0.0,2,0,1.78,64.67,-6.92,-53.1,85.08,-12.79,3,1080,0.3338,0.9827
petg_rect_3_run_2,boresight,0.0,2,1,1.78,60.06,-9.07,142.25,-50.47,-12.79,3,1080,0.2484,0.8046
petg_rect_3_run_2,boresight,0.0,2,2,1.78,68.48,-1.13,-51.85,101.23,-12.79,3,1080,0.4926,0.9773
petg_rect_3_run_2,boresight,0.0,2,3,1.78,65.15,-9.26,-134.49,14.22,-12.79,3,1080,0.3797,0.9066
petg_stock_1,boresight,0.0,0,0,1.78,67.18,-3.81,1.03,139.32,-12.44,3,1080,0.4404,0.745
petg_stock_1,boresight,0.0,0,1,1.78,62.18,-11.47,-121.74,12.25,-12.44,3,1080,0.3422,0.5394
petg_stock_1,boresight,0.0,0,2,1.78,60.03,-11.87,21.93,163.46,-12.44,3,1080,0.3278,0.4566
petg_stock_1,boresight,0.0,0,3,1.78,65.03,-8.45,56.81,-167.03,-12.44,3,1080,0.361,0.6889
petg_stock_1,boresight,0.0,1,0,1.78,66.42,-7.83,-53.99,77.79,-12.44,3,1080,0.344,0.9807
petg_stock_1,boresight,0.0,1,1,1.78,68.0,-5.68,120.9,-91.87,-12.44,3,1080,0.4191,0.8531
petg_stock_1,boresight,0.0,1,2,1.78,69.62,-1.41,26.23,170.48,-12.44,3,1080,0.4613,0.9977
petg_stock_1,boresight,0.0,1,3,1.78,68.68,-7.26,-72.23,62.92,-12.44,3,1080,0.4593,0.9716
petg_stock_1,boresight,0.0,2,0,1.78,60.89,-10.7,49.25,-172.57,-12.44,3,1080,0.3731,0.4404
petg_stock_1,boresight,0.0,2,1,1.78,61.13,-8.0,23.14,-169.58,-12.44,3,1080,0.3082,0.609
